('O', 'NNP')
('ALIENISTA', 'NNP')
('ÍNDICE', 'NNP')
('CAPÍTULO', 'NNP')
('PRIMEIRO', 'NNP')
('CAPÍTULO', 'NNP')
('II', 'NNP')
('CAPÍTULO', 'NNP')
('III', 'NNP')
('CAPÍTULO', 'NNP')
('IV', 'NNP')
('CAPÍTULO', 'NNP')
('V', 'NNP')
('CAPÍTULO', 'NNP')
('VI', 'NNP')
('CAPÍTULO', 'NNP')
('VII', 'NNP')
('CAPÍTULO', 'NNP')
('VIII', 'NNP')
('CAPÍTULO', 'NNP')
('IX', 'NNP')
('CAPÍTULO', 'NNP')
('X', 'NNP')
('CAPÍTULO', 'NNP')
('XI', 'NNP')
('CAPÍTULO', 'NNP')
('XII', 'NNP')
('CAPÍTULO', 'NNP')
('XIII', 'NNP')
('CAPÍTULO', 'NNP')
('PRIMEIRO', 'NNP')
('DE', 'NNP')
('COMO', 'NNP')
('ITAGUAÍ', 'NNP')
('GANHOU', 'NNP')
('UMA', 'NNP')
('CASA', 'NNP')
('DE', 'NNP')
('ORATES', 'NNP')
('As', 'IN')
('crônicas', 'NN')
('vila', 'NN')
('Itaguaí', 'NNP')
('dizem', 'NN')
('tempos', 'NN')
('remotos', 'NN')
('vivera', 'NN')
('ali', 'NN')
('certo', 'NN')
('médico', 'NN')
('Dr', 'NNP')
('Simão', 'NNP')
('Bacamarte', 'NNP')
('filho', 'NN')
('nobreza', 'NN')
('terra', 'NN')
('maior', 'JJ')
('médicos', 'NN')
('Brasil', 'NNP')
('Portugal', 'NNP')
('Espanhas', 'NNP')
('Estudara', 'NNP')
('Coimbra', 'NNP')
('Pádua', 'NNP')
('Aos', 'NNP')
('trinta', 'NN')
('quatro', 'NN')
('anos', 'NNS')
('regressou', 'VBP')
('Brasil', 'NNP')
('podendo', 'NN')
('el', 'NN')
('rei', 'NN')
('alcançar', 'NN')
('ficasse', 'NN')
('Coimbra', 'NNP')
('regendo', 'NN')
('universidade', 'JJ')
('Lisboa', 'NNP')
('expedindo', 'NN')
('negócios', 'NNS')
('monarquia', 'VBP')
('A', 'DT')
('ciência', 'NN')
('disse', 'NN')
('Sua', 'NNP')
('Majestade', 'NNP')
('emprego', 'NN')
('único', 'NNP')
('Itaguaí', 'NNP')
('universo', 'JJ')
('Dito', 'NNP')
('meteu', 'NN')
('Itaguaí', 'NNP')
('entregou', 'VBZ')
('corpo', 'JJ')
('alma', 'NN')
('estudo', 'NN')
('ciência', 'NN')
('alternando', 'NN')
('curas', 'NNS')
('leituras', 'VBP')
('demonstrando', 'JJ')
('teoremas', 'NN')
('cataplasmas', 'NN')
('Aos', 'NNP')
('quarenta', 'NN')
('anos', 'NNS')
('casou', 'VBP')
('D', 'NNP')
('Evarista', 'NNP')
('Costa', 'NNP')
('Mascarenhas', 'NNP')
('senhora', 'VBZ')
('vinte', 'FW')
('cinco', 'NN')
('anos', 'NNS')
('viúva', 'VBP')
('juiz', 'NN')
('bonita', 'NN')
('simpática', 'NN')
('Um', 'NNP')
('tios', 'NNS')
('caçador', 'VBP')
('pacas', 'JJ')
('perante', 'NN')
('Eterno', 'NNP')
('menos', 'VBZ')
('franco', 'JJ')
('admirou', 'NN')
('semelhante', 'NN')
('escolha', 'FW')
('disse', 'NN')
('lho', 'NN')
('Simão', 'NNP')
('Bacamarte', 'NNP')
('explicou', 'VBZ')
('D', 'NNP')
('Evarista', 'NNP')
('reunia', 'NN')
('condições', 'NN')
('fisiológicas', 'NN')
('anatômicas', 'NN')
('primeira', 'NN')
('ordem', 'NN')
('digeria', 'NN')
('facilidade', 'VBD')
('dormia', 'NN')
('regularmente', 'NN')
('bom', 'NN')
('pulso', 'NN')
('excelente', 'VBP')
('vista', 'NN')
('assim', 'NN')
('apta', 'IN')
('dar', 'NN')
('filhos', 'NN')
('robustos', 'NN')
('sãos', 'NN')
('inteligentes', 'VBZ')
('Se', 'NNP')
('além', 'NN')
('dessas', 'NN')
('prendas', 'NN')
('únicas', 'NNP')
('dignas', 'VBZ')
('preocupação', 'NN')
('sábio', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('mal', 'JJ')
('composta', 'NN')
('feições', 'NN')
('longe', 'NN')
('lastimá', 'NN')
('lo', 'NN')
('agradecia', 'NN')
('Deus', 'NNP')
('porquanto', 'NN')
('corria', 'NN')
('risco', 'NN')
('preterir', 'NN')
('interesses', 'VBZ')
('ciência', 'JJ')
('contemplação', 'NN')
('exclusiva', 'NN')
('miúda', 'NN')
('vulgar', 'NN')
('consorte', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('mentiu', 'NN')
('esperanças', 'NN')
('Dr', 'NNP')
('Bacamarte', 'NNP')
('deu', 'NN')
('filhos', 'NN')
('robustos', 'NN')
('mofinos', 'VBZ')
('A', 'DT')
('índole', 'JJ')
('natural', 'JJ')
('ciência', 'NN')
('longanimidade', 'NN')
('médico', 'NN')
('esperou', 'NN')
('três', 'NN')
('anos', 'JJ')
('quatro', 'NN')
('cinco', 'NN')
('Ao', 'NNP')
('cabo', 'NN')
('desse', 'NN')
('tempo', 'NN')
('fez', 'NN')
('estudo', 'FW')
('profundo', 'NN')
('matéria', 'NNS')
('releu', 'VBP')
('todos', 'JJ')
('escritores', 'NNS')
('árabes', 'VBP')
('outros', 'JJ')
('trouxera', 'NN')
('Itaguaí', 'NNP')
('enviou', 'NN')
('consultas', 'NNS')
('universidades', 'IN')
('italianas', 'JJ')
('alemãs', 'NN')
('acabou', 'NN')
('aconselhar', 'IN')
('mulher', 'JJR')
('regímen', 'NNS')
('alimentício', 'VBP')
('especial', 'JJ')
('A', 'NNP')
('ilustre', 'NN')
('dama', 'NN')
('nutrida', 'JJ')
('exclusivamente', 'NN')
('bela', 'NN')
('carne', 'NN')
('porco', 'NN')
('Itaguaí', 'NNP')
('atendeu', 'NN')
('admoestações', 'NN')
('esposo', 'NN')
('resistência', 'NN')
('explicável', 'NN')
('inqualificável', 'NN')
('devemos', 'NN')
('total', 'JJ')
('extinção', 'JJ')
('dinastia', 'NN')
('Bacamartes', 'NNP')
('Mas', 'NNP')
('ciência', 'NN')
('inefável', 'NN')
('dom', 'NN')
('curar', 'NN')
('todas', 'JJ')
('mágoas', 'NN')
('médico', 'NN')
('mergulhou', 'NN')
('inteiramente', 'NN')
('estudo', 'NN')
('prática', 'NN')
('medicina', 'NN')
('Foi', 'NNP')
('então', 'VBZ')
('recantos', 'NNS')
('desta', 'JJ')
('chamou', 'JJ')
('especialmente', 'NN')
('atenção', 'NN')
('recanto', 'NN')
('psíquico', 'NN')
('exame', 'NN')
('patologia', 'JJ')
('cerebral', 'JJ')
('Não', 'NNP')
('havia', 'NN')
('colônia', 'NN')
('ainda', 'NN')
('reino', 'NN')
('autoridade', 'VBD')
('semelhante', 'JJ')
('matéria', 'NNS')
('mal', 'JJ')
('explorada', 'JJ')
('quase', 'NN')
('inexplorada', 'NN')
('Simão', 'NNP')
('Bacamarte', 'NNP')
('compreendeu', 'NN')
('ciência', 'NN')
('lusitana', 'NN')
('particularmente', 'NN')
('brasileira', 'IN')
('podia', 'NN')
('cobrir', 'NN')
('louros', 'NN')
('imarcescíveis', 'NN')
('\x94,', 'NNP')
('expressão', 'VBZ')
('usada', 'JJ')
('arroubo', 'NN')
('intimidade', 'NN')
('doméstica', 'NN')
('exteriormente', 'VBP')
('modesto', 'FW')
('segundo', 'NN')
('convém', 'NN')
('sabedores', 'VBZ')
('A', 'DT')
('saúde', 'JJ')
('alma', 'NN')
('bradou', 'NN')
('ocupação', 'IN')
('digna', 'NN')
('médico', 'NNS')
('Do', 'VBP')
('verdadeiro', 'RB')
('médico', 'VB')
('emendou', 'NN')
('Crispim', 'NNP')
('Soares', 'NNP')
('boticário', 'NN')
('vila', 'NN')
('amigos', 'VBP')
('comensais', 'VBZ')
('A', 'NNP')
('vereança', 'NN')
('Itaguaí', 'NNP')
('outros', 'VBZ')
('pecados', 'JJ')
('argüida', 'NN')
('cronistas', 'NNS')
('fazer', 'VBP')
('caso', 'JJ')
('dementes', 'NNS')
('Assim', 'NNP')
('cada', 'NN')
('louco', 'NN')
('furioso', 'NN')
('trancado', 'NN')
('alcova', 'IN')
('própria', 'NNS')
('casa', 'VBP')
('curado', 'JJ')
('descurado', 'NN')
('morte', 'NN')
('vinha', 'NN')
('defraudar', 'NN')
('benefício', 'NN')
('vida', 'NN')
('mansos', 'NN')
('andavam', 'NN')
('solta', 'NN')
('rua', 'NN')
('Simão', 'NNP')
('Bacamarte', 'NNP')
('entendeu', 'VBZ')
('desde', 'NN')
('logo', 'NN')
('reformar', 'NN')
('tão', 'NN')
('ruim', 'NN')
('costume', 'NN')
('pediu', 'NN')
('licença', 'NN')
('Câmara', 'NNP')
('agasalhar', 'VBZ')
('tratar', 'NN')
('edifício', 'NN')
('ia', 'NN')
('construir', 'NN')
('todos', 'NN')
('loucos', 'NN')
